Patient ID,association,dataset,threshold value,standardized value
I7270,BRD-K12621773_-666_HA1E_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null
I7271,BRD-K14939371_-666_A549_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null
I7272,GTEX-S7SF-0001-SM-3K2BE,GTEx Tissue Sample Gene Expression Profiles,-1,-1.00584
I7273,BRD-K04887706_Akti-1/2_LOVO_6.0_h_9.1_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null
I7274,E2F1-18555785-MESC-mouse,CHEA Transcription Factor Binding Site Profiles,1,null
I7275,PAX3-FKHR-20663909-RHABDOMYOSARCOMA-HUMAN,CHEA Transcription Factor Binding Site Profiles,1,null
I7276,ChIP_NR0B1_18358816,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null
I7277,SON_KD_GDS4448_35_human_HeLa,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null
I7278,ChIP_EZH2_18974828,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null
I7279,showed,GeneRIF Biological Term Annotations,1,null
I7280,BRD-K24132293_piperlongumine (HPLC)_PL21_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null
I7281,H3K9me3_GM12878_hg19_1,ENCODE Histone Modification Site Profiles,1,null
I7282,BRD-K03736784_-666_MCF7_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null
I7283,spinal cord,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.296372
I7284,KDM4A,ENCODE Transcription Factor Targets,1,null
I7285,Acute Myeloid Leukemia_LAML_TCGA-AB-2954-03A-01T-0736-13,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null
