Patient ID,association,dataset,threshold value,standardized value,,,,,,,,,
I7270,ferric nitrilotriacetate,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7271,Raynaud Disease,CTD Gene-Disease Associations,1,1.33553,,,,,,,,,
I7272,t-lymphoblastoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.19292,,,,,,,,,
I7273,carcinoma,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.25645,,,,,,,,,
I7274,link,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7275,TC32,CCLE Cell Line Gene Expression Profiles,-1,-1.67222,,,,,,,,,
I7276,Nasopharyngeal Carcinoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7277,Amiodarone,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7278,RNF2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7279,tac,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7280,glycosphingolipid,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7281,linker,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7282,Dabigatran etexilate,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I7283,Monocytic Leukemia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7284,Venlafaxine,DrugBank Drug Targets,1,null,,,,,,,,,
I7285,GTEX-WYBS-0426-SM-3NM9M,GTEx Tissue Sample Gene Expression Profiles,-1,-0.856318,,,,,,,,,
I7286,sirolimus,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7287,immunohistochemical,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7288,fluconazole,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7289,Kidney Tubular Necrosis,,,,,,,,,,,,
I7290,Carcinoma,,,,,,,,,,,,
I7291,investigate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7292,Cardiac Arrhythmia,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I7293,vascular disease,GWASdb SNP-Disease Associations,1,0.062404,,,,,,,,,
I7294,Intestinal Diseases,CTD Gene-Disease Associations,1,1.42238,,,,,,,,,
